Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1766960467,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1766960468,1,,Aggregated,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,1,0,125.52999996114522,125.52999996114522,125.52999996114522,125.52999996114522,0.0
1766960469,2,,Aggregated,0.000000,0.000000,130,130,130,130,130,130,130,130,130,130,130,2,0,128.7861000164412,127.15804998879321,125.52999996114522,128.7861000164412,0.0
1766960470,4,,Aggregated,0.000000,0.000000,120,130,130,130,130,130,130,130,130,130,130,5,0,120.0,77.85725998692214,7.0035000098869205,128.7861000164412,0.0
1766960471,5,,Aggregated,1.000000,0.000000,9,120,130,130,130,130,130,130,130,130,130,8,0,8,51.08684999868274,5.055700021330267,128.7861000164412,0.0
1766960472,6,,Aggregated,1.666667,0.000000,8,120,130,130,130,140,140,140,140,140,140,11,0,8,50.6820545415394,5.055700021330267,135.83819998893887,0.0
1766960473,7,,Aggregated,1.750000,0.000000,8,9,120,120,130,140,140,140,140,140,140,16,0,7,44.43711874773726,5.055700021330267,135.83819998893887,0.0
1766960474,8,,Aggregated,2.000000,0.000000,8,9,120,120,130,140,140,140,140,140,140,20,0,7,36.90563999989536,5.055700021330267,135.83819998893887,0.0
1766960475,9,,Aggregated,2.000000,0.000000,8,9,120,120,130,140,140,140,140,140,140,23,0,8,43.47329565232781,5.055700021330267,136.22370001394302,0.0
1766960476,10,,Aggregated,2.571429,0.000000,8,9,120,130,140,160,180,180,180,180,180,28,0,8,48.43143928779422,4.768700047861785,180.81400002120063,0.0
1766960477,10,,Aggregated,2.875000,0.000000,8,9,120,130,140,160,180,180,180,180,180,30,0,8,45.57064333348535,4.768700047861785,180.81400002120063,0.0
1766960478,10,,Aggregated,2.888889,0.000000,7,9,120,120,140,160,180,180,180,180,180,35,0,7,42.994019999501425,4.57079999614507,180.81400002120063,0.0
1766960479,10,,Aggregated,2.800000,0.000000,7,8,120,120,140,160,180,180,180,180,180,40,0,7,41.66565999912564,4.523199982941151,180.81400002120063,0.0
1766960480,10,,Aggregated,3.300000,0.000000,7,9,120,130,140,140,180,180,180,180,180,46,0,7,45.780032608688444,4.523199982941151,180.81400002120063,0.0
1766960481,10,,Aggregated,3.500000,0.000000,7,9,120,130,140,140,160,180,180,180,180,51,0,7,46.88907058809099,4.523199982941151,180.81400002120063,0.0
1766960482,10,,Aggregated,3.800000,0.000000,8,120,130,130,140,140,160,180,180,180,180,58,0,8,52.750012069611394,4.482599964831024,180.81400002120063,0.0
1766960483,10,,Aggregated,4.200000,0.000000,8,120,130,130,140,140,160,180,180,180,180,60,0,8,51.19919833377935,4.482599964831024,180.81400002120063,0.0
1766960484,10,,Aggregated,4.400000,0.000000,8,9,130,130,140,140,160,180,180,180,180,65,0,8,49.692696923963155,4.482599964831024,180.81400002120063,0.0
1766960485,10,,Aggregated,4.500000,0.000000,8,120,130,130,140,160,180,210,210,210,210,71,0,8,53.20599014234637,4.482599964831024,205.94130002427846,0.0
1766960486,10,,Aggregated,4.500000,0.000000,8,120,130,140,140,180,190,210,210,210,210,79,0,8,56.27009367254928,4.482599964831024,205.94130002427846,0.0
1766960487,10,,Aggregated,4.500000,0.000000,7,120,130,130,140,170,190,210,210,210,210,83,0,7,53.84367108499317,4.482599964831024,205.94130002427846,0.0
1766960488,10,,Aggregated,4.700000,0.000000,7,9,130,130,140,170,190,210,210,210,210,87,0,7,51.651463218986045,4.482599964831024,205.94130002427846,0.0
1766960489,10,,Aggregated,5.100000,0.000000,7,9,130,130,140,170,190,210,210,210,210,92,0,7,50.9345869567883,4.482599964831024,205.94130002427846,0.0
1766960490,10,,Aggregated,4.900000,0.000000,7,9,130,130,140,170,190,210,210,210,210,96,0,7,51.592053125204984,4.466800019145012,205.94130002427846,0.0
1766960491,10,,Aggregated,5.000000,0.000000,7,120,130,130,140,170,180,190,210,210,210,102,0,7,53.57569117697102,4.466800019145012,205.94130002427846,0.0
1766960492,10,,Aggregated,4.900000,0.000000,7,120,130,130,140,170,180,190,210,210,210,109,0,7,52.64097339486481,4.466800019145012,205.94130002427846,0.0
1766960494,10,,Aggregated,4.700000,0.000000,7,9,130,130,140,170,180,190,210,210,210,113,0,7,50.994952212899626,4.466800019145012,205.94130002427846,0.0
1766960495,10,,Aggregated,4.800000,0.000000,7,120,130,130,140,170,180,190,210,210,210,119,0,7,52.05866890840092,4.458500014152378,205.94130002427846,0.0
1766960496,10,,Aggregated,5.000000,0.000000,7,110,130,130,140,160,180,190,210,210,210,124,0,7,52.05055887176235,4.073399992194027,205.94130002427846,0.0
1766960500,0,,Aggregated,5.000000,0.000000,7,110,130,130,140,160,180,190,210,210,210,127,0,7,52.86180078854975,4.073399992194027,205.94130002427846,0.0
