Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/terms,41,0,7,410.360063414839,5.7678999728523195,2118.2230999693274,9075.878048780487,2.0605929103266214,0.0,7,11,12,90,2000,2100,2100,2100,2100,2100,2100
POST,/terms,9,0,110.0,121.24727776972577,103.7963000126183,180.23509997874498,170.0,0.45232527299852665,0.0,110,110,120,130,180,180,180,180,180,180,180
GET,/terms/API,1,0,8.715400006622076,8.715400006622076,8.715400006622076,8.715400006622076,183.0,0.050258363666502964,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/terms/CDN,2,0,6,1021.6176499961875,5.783800035715103,2037.45149995666,173.0,0.10051672733300593,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
GET,/terms/DNS,1,0,9.322699974291027,9.322699974291027,9.322699974291027,9.322699974291027,170.0,0.050258363666502964,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/terms/MQTT,1,0,7.24510004511103,7.24510004511103,7.24510004511103,7.24510004511103,178.0,0.050258363666502964,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/terms/MongoDB,1,0,8.535699977073818,8.535699977073818,8.535699977073818,8.535699977073818,153.0,0.050258363666502964,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/terms/OAuth,2,0,8.118600002489984,10.371799988206476,8.118600002489984,12.624999973922968,167.0,0.10051672733300593,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/terms/REST,2,0,7.12220004061237,7.659249997232109,7.12220004061237,8.196299953851849,187.0,0.10051672733300593,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/terms/SQL,1,0,7.517699967138469,7.517699967138469,7.517699967138469,7.517699967138469,179.0,0.050258363666502964,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/terms/SSL,2,0,6,6.571899983100593,5.981699971016496,7.16209999518469,179.0,0.10051672733300593,0.0,7,7,7,7,7,7,7,7,7,7,7
DELETE,/terms/TestTerm_woab9r,1,0,114.16800000006333,114.16800000006333,114.16800000006333,114.16800000006333,44.0,0.050258363666502964,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/terms/UDP,1,0,7.740999979432672,7.740999979432672,7.740999979432672,7.740999979432672,167.0,0.050258363666502964,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/terms/WebSocket,2,0,5.281799996737391,1026.8821000063326,5.281799996737391,2048.482400015928,168.0,0.10051672733300593,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
,Aggregated,67,0,8,331.7229716392206,5.281799996737391,2118.2230999693274,5618.850746268657,3.3673103656556984,0.0,8,13,110,110,2000,2100,2100,2100,2100,2100,2100
