Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/terms,1128,1128,4100.0,4095.80211914907,4035.9073000145145,4120.580099988729,0.0,6.306008355356097,6.306008355356097,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
POST,/terms,569,569,4100.0,4095.089429349582,4046.453899994958,4123.818400024902,0.0,3.1809563423737757,3.1809563423737757,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/API,27,27,4100.0,4093.951425933348,4060.244699998293,4116.108799993526,0.0,0.15094168935692784,0.15094168935692784,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/API,4,4,4100.0,4098.148424993269,4085.286699992139,4113.403499999549,0.0,0.022361731756581904,0.022361731756581904,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/CDN,29,29,4100.0,4094.2419655159406,4060.925199999474,4113.172899989877,0.0,0.1621225552352188,0.1621225552352188,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/CDN,6,6,4100.0,4103.750466669832,4093.296500039287,4113.063999975566,0.0,0.033542597634872856,0.033542597634872856,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/CORS,25,25,4100.0,4097.051343997009,4074.7808000305668,4115.5758000095375,0.0,0.1397608234786369,0.1397608234786369,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/CORS,10,10,4100.0,4091.8295000039507,4063.1827999604866,4112.955300020985,0.0,0.05590432939145476,0.05590432939145476,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/DNS,29,29,4100.0,4098.824451731694,4063.551400031429,4116.731500020251,0.0,0.1621225552352188,0.1621225552352188,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/DNS,8,8,4100.0,4090.459524995822,4063.781699980609,4117.134300002363,0.0,0.04472346351316381,0.04472346351316381,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Docker,34,34,4100.0,4098.212626469938,4063.6380999931134,4117.706899996847,0.0,0.19007471993094618,0.19007471993094618,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Docker,5,5,4100.0,4106.856840010732,4090.427000017371,4124.607199977618,0.0,0.02795216469572738,0.02795216469572738,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Elasticsearch,23,23,4100.0,4095.7924260950203,4052.9505999875255,4116.697399993427,0.0,0.12857995760034593,0.12857995760034593,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Elasticsearch,3,3,4103.804600017611,4107.26343333954,4103.804600017611,4113.024200021755,0.0,0.016771298817436428,0.016771298817436428,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/GraphQL,28,28,4100.0,4096.487053570205,4060.6920999707654,4118.175000010524,0.0,0.15653212229607333,0.15653212229607333,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/GraphQL,2,2,4095.8116999827325,4088.284149969695,4080.7565999566577,4095.8116999827325,0.0,0.011180865878290952,0.011180865878290952,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/HTTP,29,29,4100.0,4099.114989655109,4077.566099993419,4117.276799981482,0.0,0.1621225552352188,0.1621225552352188,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/HTTP,7,7,4100.0,4103.3277571467415,4089.9476000340655,4109.722100023646,0.0,0.03913303057401833,0.03913303057401833,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/JSON,35,35,4100.0,4095.7126228654356,4059.34310000157,4111.698599997908,0.0,0.19566515287009165,0.19566515287009165,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/JSON,1,1,4110.55949999718,4110.55949999718,4110.55949999718,4110.55949999718,0.0,0.005590432939145476,0.005590432939145476,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/JWT,38,38,4100.0,4099.224389475574,4066.6426999960095,4117.89300001692,0.0,0.2124364516875281,0.2124364516875281,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/JWT,6,6,4100.0,4098.002333329835,4077.684199961368,4111.4321000059135,0.0,0.033542597634872856,0.033542597634872856,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Kubernetes,32,32,4100.0,4096.976131251722,4068.641000019852,4116.699400008656,0.0,0.17889385405265523,0.17889385405265523,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Kubernetes,7,7,4100.0,4098.778271423986,4091.061200015247,4110.423600010108,0.0,0.03913303057401833,0.03913303057401833,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/MQTT,23,23,4100.0,4092.844965227414,4072.0922999898903,4112.392299983185,0.0,0.12857995760034593,0.12857995760034593,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/MQTT,8,8,4100.0,4099.017475004075,4080.4735999554396,4111.718000029214,0.0,0.04472346351316381,0.04472346351316381,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Microservices,36,36,4100.0,4094.143472227087,4058.9649000321515,4127.733600034844,0.0,0.20125558580923714,0.20125558580923714,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Microservices,4,4,4094.1504999645986,4084.8570999951335,4072.168499988038,4094.1504999645986,0.0,0.022361731756581904,0.022361731756581904,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/MongoDB,31,31,4100.0,4098.36235161375,4074.619100021664,4116.956699988805,0.0,0.17330342111350974,0.17330342111350974,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/MongoDB,3,3,4100.0,4096.8278666647775,4089.178800000809,4103.4630999783985,0.0,0.016771298817436428,0.016771298817436428,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/NoSQL,27,27,4100.0,4093.4806962937323,4056.3395000062883,4117.082400014624,0.0,0.15094168935692784,0.15094168935692784,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
