Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/terms,659,659,4100.0,4099.312055538453,4060.5838000192307,4214.343699975871,0.0,11.067868009942158,11.067868009942158,4100,4100,4100,4100,4100,4100,4100,4100,4200,4200,4200
POST,/terms,352,352,4100.0,5290.98346590978,4060.6241999776103,32075.269300024956,0.0,5.911820242032837,5.911820242032837,4100,4100,4100,4100,4100,4100,32000,32000,32000,32000,32000
GET,/terms/API,25,25,4100.0,4101.806479997467,4063.8391000102274,4184.108599962201,0.0,0.41987359673528674,0.41987359673528674,4100,4100,4100,4100,4100,4100,4200,4200,4200,4200,4200
PUT,/terms/API,2,2,4100.0,4097.655999998096,4094.052200031001,4101.259799965192,0.0,0.03358988773882294,0.03358988773882294,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/CDN,11,11,4100.0,4101.503718178719,4088.82679999806,4114.497900009155,0.0,0.18474438256352615,0.18474438256352615,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/CDN,2,2,4096.7213999829255,4094.7600999788847,4092.798799974844,4096.7213999829255,0.0,0.03358988773882294,0.03358988773882294,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/CORS,11,11,4100.0,4101.3113272757355,4087.7467000391334,4112.367000023369,0.0,0.18474438256352615,0.18474438256352615,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/CORS,2,2,4109.645500022452,4110.652200004552,4109.645500022452,4111.658899986651,0.0,0.03358988773882294,0.03358988773882294,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/DNS,10,10,4100.0,4096.705970005132,4079.6774000045843,4109.065000026021,0.0,0.1679494386941147,0.1679494386941147,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/DNS,3,3,4100.0,4100.829066689282,4093.696900003124,4111.89550004201,0.0,0.050384831608234405,0.050384831608234405,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Docker,14,14,4100.0,4098.089771436727,4077.99319998594,4114.680099999532,0.0,0.23512921417176058,0.23512921417176058,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Docker,8,8,4100.0,7594.543874998635,4094.7925000218675,32035.10349994758,0.0,0.13435955095529176,0.13435955095529176,4100,4100,4100,4100,32000,32000,32000,32000,32000,32000,32000
GET,/terms/Elasticsearch,13,13,4100.0,4096.557130768465,4079.3913999805227,4109.382299997378,0.0,0.21833427030234911,0.21833427030234911,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Elasticsearch,4,4,4101.100600033533,4103.520350006875,4101.100600033533,4105.946600029711,0.0,0.06717977547764588,0.06717977547764588,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/GraphQL,23,23,4100.0,4099.9911173914925,4079.319400014356,4115.432600025088,0.0,0.3862837089964638,0.3862837089964638,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/GraphQL,5,5,4100.0,4088.414300000295,4061.9518000166863,4110.871399985626,0.0,0.08397471934705734,0.08397471934705734,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/HTTP,20,20,4100.0,4100.637540000025,4079.722900001798,4127.00350000523,0.0,0.3358988773882294,0.3358988773882294,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/HTTP,3,3,4100.0,4098.030166661677,4077.8618999756873,4110.564100032207,0.0,0.050384831608234405,0.050384831608234405,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/JSON,14,14,4100.0,4095.3022857055266,4063.3204000187106,4110.594499972649,0.0,0.23512921417176058,0.23512921417176058,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/JSON,4,4,4100.0,4100.078474992188,4094.7293000062928,4109.581299999263,0.0,0.06717977547764588,0.06717977547764588,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/JWT,22,22,4100.0,4093.5641681770157,4065.3615000192076,4110.389499983285,0.0,0.3694887651270523,0.3694887651270523,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/JWT,4,4,4100.0,4090.2811749838293,4080.7875000173226,4101.260599971283,0.0,0.06717977547764588,0.06717977547764588,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Kubernetes,23,23,4100.0,4101.934534783536,4077.1058999816887,4113.162799971178,0.0,0.3862837089964638,0.3862837089964638,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Kubernetes,1,1,4107.444100023713,4107.444100023713,4107.444100023713,4107.444100023713,0.0,0.01679494386941147,0.01679494386941147,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/MQTT,16,16,4100.0,4096.738193748024,4074.4444000301883,4112.045100016985,0.0,0.2687191019105835,0.2687191019105835,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/MQTT,4,4,4100.0,4092.1176749980077,4080.1465999684297,4102.998899994418,0.0,0.06717977547764588,0.06717977547764588,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Microservices,19,19,4100.0,4097.251536851552,4073.5902999877,4128.821699996479,0.0,0.31910393351881794,0.31910393351881794,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Microservices,3,3,4100.0,4100.315166676107,4093.584300018847,4109.668400022201,0.0,0.050384831608234405,0.050384831608234405,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/MongoDB,14,14,4100.0,4099.590185713688,4090.2240999857895,4115.610600041691,0.0,0.23512921417176058,0.23512921417176058,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/MongoDB,4,4,4100.0,4106.079375022091,4099.074200028554,4111.035000008997,0.0,0.06717977547764588,0.06717977547764588,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/NoSQL,15,15,4100.0,4099.555253334499,4067.2860000049695,4116.080200008582,0.0,0.251924158041172,0.251924158041172,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/NoSQL,3,3,4100.0,4097.71883332481,4080.280299996957,4107.050099992193,0.0,0.050384831608234405,0.050384831608234405,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/OAuth,15,15,4100.0,4100.601853333258,4077.0132999750786,4126.87029998051,0.0,0.251924158041172,0.251924158041172,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/OAuth,5,5,4100.0,9686.559079983272,4090.1446000207216,32036.191199964378,0.0,0.08397471934705734,0.08397471934705734,4100,4100,4100,32000,32000,32000,32000,32000,32000,32000,32000
GET,/terms/PostgreSQL,21,21,4100.0,4095.532147615727,4077.2585999802686,4109.449699986726,0.0,0.35269382125764087,0.35269382125764087,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/PostgreSQL,3,3,4100.0,4104.120833333582,4094.054999994114,4111.453499994241,0.0,0.050384831608234405,0.050384831608234405,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Protobuf,13,13,4100.0,4100.197738457399,4076.0526999947615,4118.576799985021,0.0,0.21833427030234911,0.21833427030234911,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Protobuf,3,3,4094.329799991101,4089.922333310824,4081.7893999628723,4094.329799991101,0.0,0.050384831608234405,0.050384831608234405,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/REST,16,16,4100.0,4096.12455624665,4066.576300014276,4113.586599996779,0.0,0.2687191019105835,0.2687191019105835,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/REST,1,1,4102.31859999476,4102.31859999476,4102.31859999476,4102.31859999476,0.0,0.01679494386941147,0.01679494386941147,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/Redis,18,18,4100.0,4095.3080611102955,4068.176199973095,4111.827699991409,0.0,0.30230898964940645,0.30230898964940645,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/Redis,7,7,4100.0,8091.58607142412,4081.8767999880947,32061.215699999593,0.0,0.11756460708588029,0.11756460708588029,4100,4100,4100,4100,32000,32000,32000,32000,32000,32000,32000
GET,/terms/SQL,13,13,4100.0,4097.680807691247,4071.6995999682695,4113.016800023615,0.0,0.21833427030234911,0.21833427030234911,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/SQL,1,1,4112.392999988515,4112.392999988515,4112.392999988515,4112.392999988515,0.0,0.01679494386941147,0.01679494386941147,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
